00C000 minecraft:grass
008000 minecraft:grass_block
487831 ^minecraft:.*_(log|leaves)$
6B514F ^minecraft:.*dirt$
0000FF minecraft:water
0000FF minecraft:kelp
D0D0FF minecraft:ice
808080 minecraft:stone
0000FF ^minecraft:.*seagrass$
a3791d minecraft:podzol
db4444 minecraft:red_sand
FF0000 minecraft:lava
cfc963 minecraft:sand
82bfa6 minecraft:cactus
e3710e minecraft:terracotta
e3510e minecraft:red_terracotta
e3980e minecraft:brown_terracotta
c2bab6 minecraft:andesite
ebe5e1 minecraft:diorite
dea07e minecraft:granite
